recording_started_at_utc,sample_timestamp_utc,device_name,channel,channel_sample_index,value_uv
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF8,323,46.386719
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF8,324,-11.230469
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,313,712.890625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,314,359.375000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,315,-125.000000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,316,-303.710938
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,317,279.296875
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,318,786.621094
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,319,152.343750
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,320,-246.093750
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,321,304.199219
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,322,894.531250
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,323,206.054688
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,TP9,324,-648.437500
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,313,681.640625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,314,-540.527344
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,315,-1000.000000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,316,-347.167969
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,317,999.511719
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,318,214.843750
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,319,-1000.000000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,320,-425.781250
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,321,896.972656
